date,stock_id,buy,name,sell
2019-06-03,0050,993011,Foreign_Investor,998000
2019-06-03,0050,0,Foreign_Dealer_Self,0
2019-06-03,0050,0,Investment_Trust,0
2019-06-03,0050,203000,Dealer_self,255000
2019-06-03,0050,1770000,Dealer_Hedging,1018000
2019-06-04,0050,1717087,Foreign_Investor,3750000
2019-06-04,0050,0,Foreign_Dealer_Self,0
2019-06-04,0050,500000,Investment_Trust,0
2019-06-04,0050,229000,Dealer_self,80000
2019-06-04,0050,1164000,Dealer_Hedging,1226000
2019-06-05,0050,481011,Foreign_Investor,2631000
2019-06-05,0050,0,Foreign_Dealer_Self,0
2019-06-05,0050,1200000,Investment_Trust,0
2019-06-05,0050,30000,Dealer_self,172000
2019-06-05,0050,966000,Dealer_Hedging,1340000
2019-06-06,0050,472001,Foreign_Investor,2538000
2019-06-06,0050,0,Foreign_Dealer_Self,0
2019-06-06,0050,0,Investment_Trust,0
2019-06-06,0050,341000,Dealer_self,166000
2019-06-06,0050,1468000,Dealer_Hedging,2201000
2019-06-10,0050,26000,Foreign_Investor,90000
2019-06-10,0050,0,Foreign_Dealer_Self,0
2019-06-10,0050,0,Investment_Trust,0
2019-06-10,0050,251000,Dealer_self,65000
2019-06-10,0050,4547000,Dealer_Hedging,394000
2019-06-11,0050,3082000,Foreign_Investor,274000
2019-06-11,0050,0,Foreign_Dealer_Self,0
2019-06-11,0050,1059000,Investment_Trust,0
2019-06-11,0050,2000,Dealer_self,340000
2019-06-11,0050,4043000,Dealer_Hedging,238000
2019-06-12,0050,5391125,Foreign_Investor,646000
2019-06-12,0050,0,Foreign_Dealer_Self,0
2019-06-12,0050,1440000,Investment_Trust,0
2019-06-12,0050,0,Dealer_self,426000
2019-06-12,0050,1035000,Dealer_Hedging,685000
2019-06-13,0050,361377,Foreign_Investor,648000
2019-06-13,0050,0,Foreign_Dealer_Self,0
2019-06-13,0050,1200000,Investment_Trust,0
2019-06-13,0050,140000,Dealer_self,0
2019-06-13,0050,406000,Dealer_Hedging,3033000
2019-06-14,0050,100000,Foreign_Investor,144000
2019-06-14,0050,0,Foreign_Dealer_Self,0
2019-06-14,0050,1150000,Investment_Trust,0
2019-06-14,0050,20000,Dealer_self,335000
2019-06-14,0050,511000,Dealer_Hedging,772000
2019-06-17,0050,4011,Foreign_Investor,57500
2019-06-17,0050,0,Foreign_Dealer_Self,0
2019-06-17,0050,744000,Investment_Trust,600000
2019-06-17,0050,49000,Dealer_self,320000
2019-06-17,0050,3016000,Dealer_Hedging,910000
2019-06-18,0050,4001,Foreign_Investor,128000
2019-06-18,0050,0,Foreign_Dealer_Self,0
2019-06-18,0050,50000,Investment_Trust,0
2019-06-18,0050,0,Dealer_self,0
2019-06-18,0050,1157000,Dealer_Hedging,441000
2019-06-19,0050,10333000,Foreign_Investor,700000
2019-06-19,0050,0,Foreign_Dealer_Self,0
2019-06-19,0050,0,Investment_Trust,0
2019-06-19,0050,112000,Dealer_self,170000
2019-06-19,0050,7223000,Dealer_Hedging,2616000
2019-06-20,0050,4305100,Foreign_Investor,452000
2019-06-20,0050,0,Foreign_Dealer_Self,0
2019-06-20,0050,0,Investment_Trust,0
2019-06-20,0050,225000,Dealer_self,0
2019-06-20,0050,914000,Dealer_Hedging,1579000
2019-06-21,0050,12196000,Foreign_Investor,470000
2019-06-21,0050,0,Foreign_Dealer_Self,0
2019-06-21,0050,0,Investment_Trust,0
2019-06-21,0050,128000,Dealer_self,123000
2019-06-21,0050,827000,Dealer_Hedging,3451000
2019-06-24,0050,14406000,Foreign_Investor,551000
2019-06-24,0050,0,Foreign_Dealer_Self,0
2019-06-24,0050,0,Investment_Trust,0
2019-06-24,0050,3000,Dealer_self,333000
2019-06-24,0050,479000,Dealer_Hedging,3607000
2019-06-25,0050,6527012,Foreign_Investor,1000
2019-06-25,0050,0,Foreign_Dealer_Self,0
2019-06-25,0050,25000,Investment_Trust,0
2019-06-25,0050,35000,Dealer_self,0
2019-06-25,0050,48000,Dealer_Hedging,2214000
2019-06-26,0050,1320000,Foreign_Investor,148000
2019-06-26,0050,0,Foreign_Dealer_Self,0
2019-06-26,0050,0,Investment_Trust,0
2019-06-26,0050,200000,Dealer_self,250000
2019-06-26,0050,274000,Dealer_Hedging,2549000
2019-06-27,0050,13020000,Foreign_Investor,950000
2019-06-27,0050,0,Foreign_Dealer_Self,0
2019-06-27,0050,20000,Investment_Trust,0
2019-06-27,0050,0,Dealer_self,35000
2019-06-27,0050,1231000,Dealer_Hedging,2739000
2019-06-28,0050,1242000,Foreign_Investor,449000
2019-06-28,0050,0,Foreign_Dealer_Self,0
2019-06-28,0050,0,Investment_Trust,0
2019-06-28,0050,205000,Dealer_self,0
2019-06-28,0050,455000,Dealer_Hedging,372000
2019-07-01,0050,6028000,Foreign_Investor,60000
2019-07-01,0050,0,Foreign_Dealer_Self,0
2019-07-01,0050,45000,Investment_Trust,0
2019-07-01,0050,40000,Dealer_self,325000
2019-07-01,0050,5525000,Dealer_Hedging,150000
2019-07-02,0050,2135000,Foreign_Investor,2000
2019-07-02,0050,0,Foreign_Dealer_Self,0
2019-07-02,0050,0,Investment_Trust,850000
2019-07-02,0050,43000,Dealer_self,100000
2019-07-02,0050,1436000,Dealer_Hedging,13000
2019-07-03,0050,3142011,Foreign_Investor,4236000
2019-07-03,0050,0,Foreign_Dealer_Self,0
2019-07-03,0050,0,Investment_Trust,550000
2019-07-03,0050,455000,Dealer_self,63000
2019-07-03,0050,798000,Dealer_Hedging,369000
2019-07-04,0050,4520126,Foreign_Investor,1408000
