date,stock_id,HoldingSharesLevel,people,percent,unit
2015-04-30,0050,1-999,5258,0.11,1129938
2015-04-30,0050,"30,001-40,000",222,0.82,8115621
2015-04-30,0050,"15,001-20,000",625,1.18,11652694
2015-04-30,0050,"40,001-50,000",160,0.75,7443217
2015-04-30,0050,"50,001-100,000",241,1.78,17580906
2015-04-30,0050,"100,001-200,000",112,1.67,16554421
2015-04-30,0050,"10,001-15,000",829,1.08,10753433
2015-04-30,0050,"200,001-400,000",58,1.63,16185000
2015-04-30,0050,"400,001-600,000",22,1.1,10919413
2015-04-30,0050,"5,001-10,000",3070,2.49,24636634
2015-04-30,0050,"600,001-800,000",12,0.85,8423500
2015-04-30,0050,"800,001-1,000,000",6,0.57,5721000
2015-04-30,0050,"1,000-5,000",25069,5.02,49599573
2015-04-30,0050,"20,001-30,000",480,1.26,12484861
2015-04-30,0050,"more than 1,000,001",64,79.62,786299789
2015-04-30,0050,total,36228,100.0,987500000
2015-05-08,0050,"15,001-20,000",637,1.2,11890152
2015-05-08,0050,"40,001-50,000",168,0.79,7823991
2015-05-08,0050,"5,001-10,000",3151,2.56,25352526
2015-05-08,0050,"600,001-800,000",10,0.69,6862913
2015-05-08,0050,"200,001-400,000",57,1.67,16567000
2015-05-08,0050,"50,001-100,000",251,1.84,18218334
2015-05-08,0050,"10,001-15,000",854,1.11,11059562
2015-05-08,0050,"800,001-1,000,000",7,0.69,6817000
2015-05-08,0050,"1,000-5,000",25443,5.1,50366832
2015-05-08,0050,"400,001-600,000",23,1.14,11336000
2015-05-08,0050,"20,001-30,000",475,1.24,12341139
2015-05-08,0050,"100,001-200,000",115,1.73,17084000
2015-05-08,0050,1-999,5252,0.11,1128489
2015-05-08,0050,"30,001-40,000",223,0.82,8123112
2015-05-08,0050,"more than 1,000,001",67,79.24,782528950
2015-05-08,0050,total,36733,100.0,987500000
2015-05-15,0050,"100,001-200,000",119,1.78,17625000
2015-05-15,0050,"600,001-800,000",12,0.82,8121500
2015-05-15,0050,"20,001-30,000",505,1.32,13099861
2015-05-15,0050,"1,000-5,000",26238,5.28,52234074
2015-05-15,0050,"200,001-400,000",58,1.7,16804000
2015-05-15,0050,"40,001-50,000",167,0.78,7756843
2015-05-15,0050,"400,001-600,000",26,1.29,12830413
2015-05-15,0050,"15,001-20,000",675,1.27,12557715
2015-05-15,0050,"50,001-100,000",277,2.02,20011340
2015-05-15,0050,"10,001-15,000",927,1.21,12013433
2015-05-15,0050,"800,001-1,000,000",9,0.84,8376000
2015-05-15,0050,1-999,5277,0.11,1132389
2015-05-15,0050,"30,001-40,000",244,0.9,8888394
2015-05-15,0050,"5,001-10,000",3273,2.66,26310394
2015-05-15,0050,"more than 1,000,001",68,77.94,769738644
2015-05-15,0050,total,37875,100.0,987500000
2015-05-22,0050,"40,001-50,000",181,0.84,8421199
2015-05-22,0050,"200,001-400,000",56,1.62,16165000
2015-05-22,0050,"20,001-30,000",517,1.34,13442634
2015-05-22,0050,"5,001-10,000",3335,2.68,26787214
2015-05-22,0050,1-999,5310,0.11,1134234
2015-05-22,0050,"100,001-200,000",127,1.86,18646010
2015-05-22,0050,"400,001-600,000",26,1.28,12805000
2015-05-22,0050,"600,001-800,000",14,0.97,9720913
2015-05-22,0050,"1,000-5,000",26659,5.33,53204107
2015-05-22,0050,"15,001-20,000",694,1.29,12908152
2015-05-22,0050,"30,001-40,000",247,0.9,8991604
2015-05-22,0050,"800,001-1,000,000",8,0.76,7641000
2015-05-22,0050,"50,001-100,000",280,2.02,20193832
2015-05-22,0050,"10,001-15,000",954,1.24,12398608
2015-05-22,0050,total,38478,100.0,997500000
2015-05-22,0050,"more than 1,000,001",70,77.69,775040493
2015-05-29,0050,"20,001-30,000",504,1.31,13088634
2015-05-29,0050,"100,001-200,000",125,1.85,18536000
2015-05-29,0050,"50,001-100,000",282,2.03,20252833
2015-05-29,0050,1-999,5298,0.11,1131750
2015-05-29,0050,"400,001-600,000",26,1.29,12943000
2015-05-29,0050,"30,001-40,000",237,0.86,8639117
2015-05-29,0050,"40,001-50,000",179,0.83,8296199
2015-05-29,0050,"1,000-5,000",26235,5.24,52323121
2015-05-29,0050,"10,001-15,000",935,1.22,12174702
2015-05-29,0050,"5,001-10,000",3260,2.61,26129359
2015-05-29,0050,"200,001-400,000",52,1.46,14604000
2015-05-29,0050,"800,001-1,000,000",10,0.92,9263000
2015-05-29,0050,"15,001-20,000",670,1.24,12464152
2015-05-29,0050,"600,001-800,000",13,0.9,9042913
2015-05-29,0050,"more than 1,000,001",69,78.05,778611220
2015-05-29,0050,total,37895,100.0,997500000
2015-06-05,0050,"15,001-20,000",708,1.38,13189619
2015-06-05,0050,"20,001-30,000",554,1.51,14434654
2015-06-05,0050,"600,001-800,000",12,0.88,8494500
2015-06-05,0050,"100,001-200,000",129,2.0,19100000
2015-06-05,0050,"30,001-40,000",245,0.93,8899180
2015-06-05,0050,"10,001-15,000",1002,1.36,13031628
2015-06-05,0050,"50,001-100,000",286,2.16,20707400
2015-06-05,0050,"800,001-1,000,000",10,0.97,9293000
2015-06-05,0050,1-999,5343,0.11,1141429
2015-06-05,0050,"400,001-600,000",29,1.5,14373000
2015-06-05,0050,"5,001-10,000",3449,2.9,27737022
2015-06-05,0050,"1,000-5,000",27480,5.76,55043351
2015-06-05,0050,"200,001-400,000",60,1.77,16918413
2015-06-05,0050,"40,001-50,000",194,0.94,9042905
2015-06-05,0050,"more than 1,000,001",65,75.76,723593899
2015-06-05,0050,total,39566,100.0,955000000
2015-06-12,0050,"1,000-5,000",28504,5.85,57112930
2015-06-12,0050,"600,001-800,000",10,0.72,7080500
2015-06-12,0050,"100,001-200,000",138,2.08,20337000
2015-06-12,0050,"20,001-30,000",596,1.57,15404891
2015-06-12,0050,"5,001-10,000",3647,3.0,29326957
2015-06-12,0050,"15,001-20,000",741,1.41,13749009
2015-06-12,0050,1-999,5366,0.11,1150287
2015-06-12,0050,"30,001-40,000",269,1.0,9785180
2015-06-12,0050,"400,001-600,000",29,1.44,14128000
2015-06-12,0050,"10,001-15,000",1030,1.37,13378577
2015-06-12,0050,"40,001-50,000",192,0.91,8943455
2015-06-12,0050,"50,001-100,000",299,2.2,21544403
2015-06-12,0050,"200,001-400,000",64,1.85,18066413
2015-06-12,0050,"800,001-1,000,000",11,1.05,10284000
2015-06-12,0050,total,40960,100.0,975000000
2015-06-12,0050,"more than 1,000,001",64,75.35,734708398
2015-06-18,0050,"800,001-1,000,000",11,1.04,10211000
2015-06-18,0050,"15,001-20,000",758,1.44,14081892
2015-06-18,0050,"400,001-600,000",28,1.43,14030000
2015-06-18,0050,"30,001-40,000",263,0.98,9587144
2015-06-18,0050,"200,001-400,000",65,1.87,18288000
2015-06-18,0050,"40,001-50,000",193,0.92,9010489
2015-06-18,0050,"600,001-800,000",11,0.78,7668500
2015-06-18,0050,"50,001-100,000",309,2.27,22197411
2015-06-18,0050,"10,001-15,000",1033,1.37,13431250
2015-06-18,0050,"1,000-5,000",28662,5.89,57501808
2015-06-18,0050,1-999,5392,0.11,1159669
2015-06-18,0050,"100,001-200,000",137,2.07,20204413
2015-06-18,0050,"5,001-10,000",3657,3.01,29434748
2015-06-18,0050,"20,001-30,000",603,1.6,15640185
2015-06-18,0050,"more than 1,000,001",64,75.13,732553491
2015-06-18,0050,total,41186,100.0,975000000
2015-06-26,0050,"1,000-5,000",28037,3.64,56095702
2015-06-26,0050,1-999,5407,0.07,1164506
2015-06-26,0050,"10,001-15,000",1015,0.85,13210951
2015-06-26,0050,"400,001-600,000",22,0.71,11057413
2015-06-26,0050,"800,001-1,000,000",11,0.65,10115000
2015-06-26,0050,"50,001-100,000",292,1.36,20991418
2015-06-26,0050,"200,001-400,000",67,1.24,19193000
2015-06-26,0050,"600,001-800,000",11,0.5,7706500
2015-06-26,0050,"30,001-40,000",256,0.6,9311144
2015-06-26,0050,"5,001-10,000",3544,1.85,28483765
2015-06-26,0050,"40,001-50,000",188,0.57,8778777
2015-06-26,0050,"100,001-200,000",128,1.22,18895000
2015-06-26,0050,"15,001-20,000",703,0.84,13059129
2015-06-26,0050,"20,001-30,000",571,0.96,14838948
2015-06-26,0050,total,40317,100.0,1537500000
2015-06-26,0050,"more than 1,000,001",65,84.85,1304598747
2015-07-03,0050,"10,001-15,000",1002,0.73,13071007
2015-07-03,0050,"40,001-50,000",187,0.49,8727777
2015-07-03,0050,"5,001-10,000",3510,1.58,28207127
2015-07-03,0050,"15,001-20,000",698,0.72,12965904
2015-07-03,0050,"400,001-600,000",22,0.61,10880000
2015-07-03,0050,"800,001-1,000,000",11,0.57,10269000
2015-07-03,0050,"20,001-30,000",567,0.82,14725948
2015-07-03,0050,"50,001-100,000",290,1.17,20923696
2015-07-03,0050,"200,001-400,000",70,1.1,19667413
2015-07-03,0050,"30,001-40,000",256,0.52,9310144
2015-07-03,0050,1-999,5415,0.06,1165416
2015-07-03,0050,"1,000-5,000",27884,3.14,55856357
2015-07-03,0050,"100,001-200,000",124,1.03,18349000
2015-07-03,0050,"600,001-800,000",10,0.4,7145500
2015-07-03,0050,total,40110,100.0,1777500000
2015-07-03,0050,"more than 1,000,001",64,86.98,1546235711
2015-07-09,0050,"600,001-800,000",11,0.43,7723500
2015-07-09,0050,"10,001-15,000",1052,0.77,13703955
2015-07-09,0050,"15,001-20,000",769,0.8,14273744
2015-07-09,0050,"1,000-5,000",29480,3.32,59109830
2015-07-09,0050,"40,001-50,000",192,0.5,8938783
2015-07-09,0050,1-999,5452,0.06,1174580
2015-07-09,0050,"100,001-200,000",132,1.08,19277000
2015-07-09,0050,"30,001-40,000",268,0.54,9699144
2015-07-09,0050,"800,001-1,000,000",12,0.62,11128413
2015-07-09,0050,"5,001-10,000",3734,1.68,29997472
2015-07-09,0050,"20,001-30,000",607,0.89,15828480
2015-07-09,0050,"200,001-400,000",67,1.07,19044000
2015-07-09,0050,"50,001-100,000",305,1.23,21994356
2015-07-09,0050,"400,001-600,000",26,0.71,12784000
2015-07-09,0050,"more than 1,000,001",65,86.23,1532822743
2015-07-09,0050,total,42172,100.0,1777500000
2015-07-17,0050,"100,001-200,000",132,1.07,19040000
2015-07-17,0050,"10,001-15,000",1064,0.77,13866899
2015-07-17,0050,"200,001-400,000",69,1.08,19254000
2015-07-17,0050,"30,001-40,000",292,0.59,10563707
2015-07-17,0050,"600,001-800,000",12,0.47,8504500
2015-07-17,0050,"20,001-30,000",625,0.91,16271752
2015-07-17,0050,"1,000-5,000",29964,3.38,60131767
2015-07-17,0050,"15,001-20,000",778,0.81,14433435
2015-07-17,0050,1-999,5509,0.06,1192632
2015-07-17,0050,"50,001-100,000",306,1.23,21886356
2015-07-17,0050,"800,001-1,000,000",15,0.78,14042413
2015-07-17,0050,"5,001-10,000",3830,1.72,30703268
2015-07-17,0050,"400,001-600,000",24,0.65,11728000
2015-07-17,0050,"40,001-50,000",193,0.5,8998486
2015-07-17,0050,"more than 1,000,001",64,85.91,1528382785
2015-07-17,0050,total,42877,100.0,1779000000
2015-07-24,0050,"200,001-400,000",69,1.07,19083000
2015-07-24,0050,"40,001-50,000",204,0.53,9497355
2015-07-24,0050,"600,001-800,000",14,0.53,9509913
2015-07-24,0050,"800,001-1,000,000",15,0.77,13745000
2015-07-24,0050,"1,000-5,000",30332,3.42,60887862
2015-07-24,0050,"20,001-30,000",628,0.91,16322752
2015-07-24,0050,1-999,5555,0.06,1205450
2015-07-24,0050,"15,001-20,000",790,0.82,14643535
2015-07-24,0050,"30,001-40,000",310,0.63,11258808
2015-07-24,0050,"400,001-600,000",21,0.57,10206000
2015-07-24,0050,"100,001-200,000",132,1.08,19314000
2015-07-24,0050,"10,001-15,000",1103,0.8,14343210
2015-07-24,0050,"5,001-10,000",3872,1.74,31071638
2015-07-24,0050,"50,001-100,000",312,1.26,22484458
2015-07-24,0050,"more than 1,000,001",67,85.74,1525427019
2015-07-24,0050,total,43424,100.0,1779000000
2015-07-31,0050,"600,001-800,000",13,0.53,8876500
2015-07-31,0050,1-999,5583,0.07,1222957
2015-07-31,0050,"40,001-50,000",220,0.61,10199657
2015-07-31,0050,"50,001-100,000",341,1.48,24492722
2015-07-31,0050,"200,001-400,000",70,1.17,19392000
2015-07-31,0050,"10,001-15,000",1175,0.92,15303233
2015-07-31,0050,"800,001-1,000,000",12,0.67,11174413
2015-07-31,0050,"30,001-40,000",304,0.66,11031707
2015-07-31,0050,"400,001-600,000",27,0.78,12993000
2015-07-31,0050,"5,001-10,000",4132,2.0,33143311
2015-07-31,0050,"1,000-5,000",31212,3.8,62875766
2015-07-31,0050,"100,001-200,000",134,1.18,19619000
2015-07-31,0050,"15,001-20,000",841,0.94,15612236
2015-07-31,0050,"20,001-30,000",658,1.03,17084058
2015-07-31,0050,total,44795,100.0,1653500000
2015-07-31,0050,"more than 1,000,001",73,84.09,1390479440
2015-08-07,0050,"30,001-40,000",324,0.72,11704013
2015-08-07,0050,"5,001-10,000",4218,2.1,33849146
2015-08-07,0050,1-999,5632,0.07,1238075
2015-08-07,0050,"15,001-20,000",861,0.99,16008229
2015-08-07,0050,"600,001-800,000",14,0.6,9794500
2015-08-07,0050,"1,000-5,000",31895,4.0,64348423
2015-08-07,0050,"200,001-400,000",75,1.29,20833000
2015-08-07,0050,"20,001-30,000",694,1.11,17951152
2015-08-07,0050,"800,001-1,000,000",14,0.81,13083413
2015-08-07,0050,"100,001-200,000",136,1.23,19867000
2015-08-07,0050,"400,001-600,000",24,0.75,12129000
2015-08-07,0050,"50,001-100,000",355,1.58,25497456
2015-08-07,0050,"10,001-15,000",1209,0.97,15740707
2015-08-07,0050,"40,001-50,000",223,0.64,10353938
2015-08-07,0050,total,45749,100.0,1607500000
2015-08-07,0050,"more than 1,000,001",75,83.05,1335101948
2015-08-14,0050,"600,001-800,000",14,0.62,9994500
2015-08-14,0050,"15,001-20,000",886,1.03,16456090
2015-08-14,0050,"800,001-1,000,000",13,0.77,12262413
2015-08-14,0050,1-999,5672,0.07,1251677
2015-08-14,0050,"30,001-40,000",329,0.74,11871013
2015-08-14,0050,"40,001-50,000",232,0.68,10825867
2015-08-14,0050,"50,001-100,000",364,1.65,26277456
2015-08-14,0050,"1,000-5,000",32477,4.13,65633736
2015-08-14,0050,"200,001-400,000",70,1.21,19290000
2015-08-14,0050,"10,001-15,000",1270,1.04,16542021
2015-08-14,0050,"400,001-600,000",28,0.87,13899000
2015-08-14,0050,"5,001-10,000",4376,2.21,35136942
2015-08-14,0050,"20,001-30,000",734,1.19,19021782
2015-08-14,0050,"100,001-200,000",140,1.27,20254000
2015-08-14,0050,total,46681,100.0,1588000000
2015-08-14,0050,"more than 1,000,001",76,82.44,1309283503
2015-08-21,0050,"5,001-10,000",4479,2.67,35836342
2015-08-21,0050,"800,001-1,000,000",12,0.84,11292000
2015-08-21,0050,"200,001-400,000",76,1.56,20950000
2015-08-21,0050,"600,001-800,000",15,0.8,10742913
2015-08-21,0050,"1,000-5,000",33010,4.98,66698039
2015-08-21,0050,"400,001-600,000",29,1.06,14287000
2015-08-21,0050,"10,001-15,000",1331,1.29,17280144
2015-08-21,0050,1-999,5729,0.09,1270404
2015-08-21,0050,"100,001-200,000",139,1.48,19891000
2015-08-21,0050,"15,001-20,000",917,1.27,17060090
2015-08-21,0050,"50,001-100,000",377,2.04,27348611
2015-08-21,0050,"20,001-30,000",757,1.45,19532305
2015-08-21,0050,"30,001-40,000",338,0.9,12171707
2015-08-21,0050,"40,001-50,000",228,0.79,10639829
2015-08-21,0050,"more than 1,000,001",75,78.71,1053999616
2015-08-21,0050,total,47512,100.0,1339000000
2015-08-28,0050,"20,001-30,000",759,1.5,19569195
2015-08-28,0050,"100,001-200,000",148,1.6,20832000
2015-08-28,0050,"50,001-100,000",378,2.11,27491916
2015-08-28,0050,"40,001-50,000",228,0.81,10634161
2015-08-28,0050,"30,001-40,000",372,1.03,13420707
2015-08-28,0050,"15,001-20,000",949,1.35,17657734
2015-08-28,0050,"5,001-10,000",4633,2.85,37171245
2015-08-28,0050,1-999,5823,0.09,1294641
2015-08-28,0050,"800,001-1,000,000",9,0.64,8394000
2015-08-28,0050,"1,000-5,000",34930,5.41,70527675
2015-08-28,0050,"10,001-15,000",1393,1.38,18063664
2015-08-28,0050,"600,001-800,000",14,0.77,10107500
2015-08-28,0050,"400,001-600,000",29,1.08,14167000
2015-08-28,0050,"200,001-400,000",78,1.66,21667000
2015-08-28,0050,total,49818,100.0,1301500000
2015-08-28,0050,"more than 1,000,001",75,77.64,1010501562
2015-09-04,0050,"100,001-200,000",138,1.45,19640413
2015-09-04,0050,"40,001-50,000",223,0.77,10408161
2015-09-04,0050,"20,001-30,000",725,1.38,18681511
2015-09-04,0050,"1,000-5,000",34147,5.1,68918619
2015-09-04,0050,"30,001-40,000",351,0.94,12692707
2015-09-04,0050,"5,001-10,000",4487,2.66,35890291
2015-09-04,0050,"200,001-400,000",77,1.6,21593000
2015-09-04,0050,"15,001-20,000",908,1.24,16861766
2015-09-04,0050,"10,001-15,000",1342,1.28,17374275
2015-09-04,0050,"600,001-800,000",11,0.59,8069500
2015-09-04,0050,"50,001-100,000",360,1.93,26102906
2015-09-04,0050,"800,001-1,000,000",11,0.75,10206000
2015-09-04,0050,1-999,5888,0.09,1312667
2015-09-04,0050,"400,001-600,000",28,1.01,13716000
2015-09-04,0050,"more than 1,000,001",69,79.13,1067532184
2015-09-04,0050,total,48765,100.0,1349000000
2015-09-11,0050,"10,001-15,000",1287,1.27,16685288
2015-09-11,0050,"50,001-100,000",346,1.9,24890906
2015-09-11,0050,"1,000-5,000",33754,5.2,67919740
2015-09-11,0050,"40,001-50,000",214,0.76,9996486
2015-09-11,0050,"800,001-1,000,000",13,0.91,11982000
2015-09-11,0050,"5,001-10,000",4400,2.69,35148433
2015-09-11,0050,1-999,5915,0.1,1321707
2015-09-11,0050,"30,001-40,000",325,0.89,11731707
2015-09-11,0050,"200,001-400,000",74,1.64,21419413
2015-09-11,0050,"100,001-200,000",138,1.5,19680000
2015-09-11,0050,"15,001-20,000",874,1.24,16237466
2015-09-11,0050,"400,001-600,000",27,1.01,13194000
2015-09-11,0050,"20,001-30,000",699,1.38,18056398
2015-09-11,0050,"600,001-800,000",13,0.72,9401500
2015-09-11,0050,"more than 1,000,001",71,78.71,1026834956
2015-09-11,0050,total,48150,100.0,1304500000
2015-09-18,0050,"20,001-30,000",671,1.33,17316398
2015-09-18,0050,"5,001-10,000",4277,2.63,34153699
2015-09-18,0050,"600,001-800,000",12,0.66,8614500
2015-09-18,0050,"1,000-5,000",33174,5.14,66604449
2015-09-18,0050,"800,001-1,000,000",12,0.86,11143000
2015-09-18,0050,"15,001-20,000",843,1.21,15670466
2015-09-18,0050,"400,001-600,000",26,0.96,12543000
2015-09-18,0050,"100,001-200,000",136,1.49,19394413
2015-09-18,0050,"30,001-40,000",316,0.88,11412707
2015-09-18,0050,"50,001-100,000",334,1.87,24255906
2015-09-18,0050,"10,001-15,000",1269,1.27,16464147
2015-09-18,0050,"200,001-400,000",71,1.54,20042000
2015-09-18,0050,1-999,5958,0.1,1340496
2015-09-18,0050,"40,001-50,000",216,0.77,10066486
2015-09-18,0050,"more than 1,000,001",72,79.22,1025558333
2015-09-18,0050,total,47387,100.0,1294500000
2015-09-25,0050,"1,000-5,000",34044,5.45,68288622
2015-09-25,0050,"400,001-600,000",27,1.04,13062000
2015-09-25,0050,"10,001-15,000",1307,1.35,16947439
2015-09-25,0050,"20,001-30,000",696,1.43,17940658
2015-09-25,0050,"800,001-1,000,000",12,0.86,10880000
2015-09-25,0050,"5,001-10,000",4434,2.82,35332072
2015-09-25,0050,"600,001-800,000",12,0.7,8836500
2015-09-25,0050,"15,001-20,000",880,1.3,16373818
2015-09-25,0050,"30,001-40,000",320,0.92,11542707
2015-09-25,0050,"50,001-100,000",341,1.95,24541916
2015-09-25,0050,"100,001-200,000",139,1.59,19937000
2015-09-25,0050,1-999,5981,0.1,1350882
2015-09-25,0050,"200,001-400,000",69,1.55,19495413
2015-09-25,0050,"40,001-50,000",225,0.83,10509486
2015-09-25,0050,total,48558,100.0,1252500000
2015-09-25,0050,"more than 1,000,001",71,78.04,977461487
2015-10-02,0050,"400,001-600,000",25,0.96,12312000
2015-10-02,0050,"40,001-50,000",223,0.81,10364806
2015-10-02,0050,"30,001-40,000",319,0.9,11477707
2015-10-02,0050,"50,001-100,000",335,1.88,24080916
2015-10-02,0050,"10,001-15,000",1301,1.32,16877296
2015-10-02,0050,"5,001-10,000",4407,2.75,35124937
2015-10-02,0050,"800,001-1,000,000",13,0.94,12002000
2015-10-02,0050,"200,001-400,000",69,1.53,19555000
2015-10-02,0050,"20,001-30,000",685,1.39,17717858
2015-10-02,0050,"15,001-20,000",869,1.26,16139648
2015-10-02,0050,"1,000-5,000",33873,5.33,67963217
2015-10-02,0050,"600,001-800,000",10,0.56,7232500
2015-10-02,0050,"100,001-200,000",144,1.63,20784413
2015-10-02,0050,1-999,5986,0.1,1353180
2015-10-02,0050,total,48331,100.0,1274500000
2015-10-02,0050,"more than 1,000,001",72,78.58,1001527522
2015-10-08,0050,"800,001-1,000,000",14,1.01,12900000
2015-10-08,0050,"1,000-5,000",33378,5.25,66943944
2015-10-08,0050,"600,001-800,000",10,0.55,7043500
2015-10-08,0050,"30,001-40,000",312,0.88,11233707
2015-10-08,0050,"5,001-10,000",4299,2.68,34268023
2015-10-08,0050,"400,001-600,000",23,0.88,11216413
2015-10-08,0050,1-999,5990,0.1,1354877
2015-10-08,0050,"15,001-20,000",853,1.24,15854946
2015-10-08,0050,"40,001-50,000",226,0.82,10514779
2015-10-08,0050,"10,001-15,000",1280,1.3,16580896
2015-10-08,0050,"20,001-30,000",674,1.37,17469128
2015-10-08,0050,"50,001-100,000",328,1.85,23617906
2015-10-08,0050,"200,001-400,000",69,1.52,19489500
2015-10-08,0050,"100,001-200,000",142,1.6,20500000
2015-10-08,0050,total,47671,100.0,1274500000
2015-10-08,0050,"more than 1,000,001",73,78.89,1005515381
2015-10-16,0050,"50,001-100,000",317,1.79,22915706
2015-10-16,0050,"15,001-20,000",805,1.17,14983666
2015-10-16,0050,"20,001-30,000",647,1.3,16688128
2015-10-16,0050,"200,001-400,000",74,1.63,20832900
2015-10-16,0050,"1,000-5,000",32655,5.12,65255789
2015-10-16,0050,"5,001-10,000",4143,2.59,33073347
2015-10-16,0050,"30,001-40,000",310,0.87,11155720
2015-10-16,0050,"40,001-50,000",205,0.74,9527272
2015-10-16,0050,"400,001-600,000",22,0.85,10959000
2015-10-16,0050,1-999,6020,0.1,1363607
2015-10-16,0050,"800,001-1,000,000",10,0.72,9179000
2015-10-16,0050,"10,001-15,000",1209,1.23,15699985
2015-10-16,0050,"600,001-800,000",10,0.56,7156500
2015-10-16,0050,"100,001-200,000",134,1.49,19019431
2015-10-16,0050,total,46633,100.0,1274500000
2015-10-16,0050,"more than 1,000,001",72,79.77,1016689949
2015-10-23,0050,"10,001-15,000",1219,1.3,15835358
2015-10-23,0050,"50,001-100,000",308,1.83,22224447
2015-10-23,0050,"100,001-200,000",137,1.61,19599000
2015-10-23,0050,"1,000-5,000",32897,5.4,65551262
2015-10-23,0050,"200,001-400,000",83,1.97,23959918
2015-10-23,0050,"5,001-10,000",4142,2.73,33106920
2015-10-23,0050,1-999,6019,0.11,1367453
2015-10-23,0050,"15,001-20,000",807,1.23,15028595
2015-10-23,0050,"30,001-40,000",298,0.88,10731707
2015-10-23,0050,"400,001-600,000",15,0.61,7497000
2015-10-23,0050,"600,001-800,000",10,0.57,6952500
2015-10-23,0050,"40,001-50,000",205,0.78,9547622
2015-10-23,0050,"20,001-30,000",651,1.38,16814003
2015-10-23,0050,"800,001-1,000,000",11,0.84,10218000
2015-10-23,0050,total,46872,100.0,1212500000
2015-10-23,0050,"more than 1,000,001",70,78.68,954066215
2015-10-30,0050,"5,001-10,000",4282,2.8,34197305
2015-10-30,0050,"400,001-600,000",18,0.73,8991413
2015-10-30,0050,"800,001-1,000,000",11,0.83,10125000
2015-10-30,0050,"100,001-200,000",132,1.55,18900328
2015-10-30,0050,"10,001-15,000",1233,1.31,16006476
2015-10-30,0050,"20,001-30,000",672,1.42,17377093
2015-10-30,0050,1-999,6065,0.11,1374487
2015-10-30,0050,"600,001-800,000",8,0.47,5818500
2015-10-30,0050,"30,001-40,000",307,0.9,11062154
2015-10-30,0050,"15,001-20,000",840,1.28,15645335
2015-10-30,0050,"200,001-400,000",89,2.15,26226918
2015-10-30,0050,"1,000-5,000",33823,5.54,67538347
2015-10-30,0050,"50,001-100,000",316,1.87,22834706
2015-10-30,0050,"40,001-50,000",205,0.78,9512622
2015-10-30,0050,"more than 1,000,001",69,78.21,953389316
2015-10-30,0050,total,48070,100.0,1219000000
2015-11-06,0050,"30,001-40,000",319,0.92,11485154
2015-11-06,0050,"20,001-30,000",668,1.38,17216366
2015-11-06,0050,1-999,6077,0.11,1371688
2015-11-06,0050,"10,001-15,000",1221,1.27,15845134
2015-11-06,0050,"200,001-400,000",80,1.86,23112900
2015-11-06,0050,"50,001-100,000",316,1.85,22944706
2015-11-06,0050,"15,001-20,000",831,1.25,15487835
2015-11-06,0050,"1,000-5,000",33474,5.38,66752364
2015-11-06,0050,"5,001-10,000",4204,2.7,33573696
2015-11-06,0050,"600,001-800,000",12,0.7,8673518
2015-11-06,0050,"100,001-200,000",133,1.54,19145328
2015-11-06,0050,"800,001-1,000,000",7,0.51,6384000
2015-11-06,0050,"400,001-600,000",22,0.89,11102000
2015-11-06,0050,"40,001-50,000",204,0.76,9479931
2015-11-06,0050,"more than 1,000,001",72,78.8,976425380
2015-11-06,0050,total,47640,100.0,1239000000
2015-11-13,0050,"15,001-20,000",891,1.33,16579935
2015-11-13,0050,"20,001-30,000",724,1.5,18710455
2015-11-13,0050,"400,001-600,000",29,1.19,14837000
2015-11-13,0050,"10,001-15,000",1315,1.37,17068752
2015-11-13,0050,"600,001-800,000",9,0.51,6400500
2015-11-13,0050,"200,001-400,000",78,1.78,22170900
2015-11-13,0050,1-999,6101,0.11,1380971
2015-11-13,0050,"30,001-40,000",360,1.04,12998654
2015-11-13,0050,"100,001-200,000",140,1.61,20166328
2015-11-13,0050,"50,001-100,000",333,1.93,24060366
2015-11-13,0050,"40,001-50,000",209,0.77,9694931
2015-11-13,0050,"800,001-1,000,000",8,0.58,7319000
2015-11-13,0050,"1,000-5,000",35509,5.72,71214241
2015-11-13,0050,"5,001-10,000",4561,2.92,36401700
2015-11-13,0050,total,50342,100.0,1245003000
2015-11-13,0050,"more than 1,000,001",75,77.59,965999267
2015-11-20,0050,"40,001-50,000",227,0.83,10550251
2015-11-20,0050,"200,001-400,000",85,1.94,24758900
2015-11-20,0050,"30,001-40,000",370,1.04,13323154
2015-11-20,0050,1-999,6176,0.11,1415894
2015-11-20,0050,"15,001-20,000",967,1.41,18012547
2015-11-20,0050,"100,001-200,000",146,1.62,20677338
2015-11-20,0050,"50,001-100,000",355,2.03,25829011
2015-11-20,0050,"10,001-15,000",1376,1.4,17825483
2015-11-20,0050,"20,001-30,000",768,1.56,19817480
2015-11-20,0050,"400,001-600,000",26,1.02,12960018
2015-11-20,0050,"800,001-1,000,000",8,0.57,7244000
2015-11-20,0050,"5,001-10,000",4891,3.07,38994881
2015-11-20,0050,"1,000-5,000",36855,5.83,74150710
2015-11-20,0050,"600,001-800,000",13,0.71,9108500
2015-11-20,0050,total,52336,100.0,1270017000
2015-11-20,0050,"more than 1,000,001",73,76.79,975348833
2015-11-27,0050,"40,001-50,000",223,0.81,10369251
2015-11-27,0050,"400,001-600,000",22,0.86,11029000
2015-11-27,0050,"800,001-1,000,000",8,0.57,7302000
2015-11-27,0050,"10,001-15,000",1361,1.38,17643695
