date,stock_id,MarginShortSalesPreviousDayBalance,MarginShortSalesShortSales,MarginShortSalesShortCovering,MarginShortSalesStockRedemption,MarginShortSalesCurrentDayBalance,MarginShortSalesQuota,SBLShortSalesPreviousDayBalance,SBLShortSalesShortSales,SBLShortSalesReturns,SBLShortSalesAdjustments,SBLShortSalesCurrentDayBalance,SBLShortSalesQuota,SBLShortSalesShortCovering
2019-01-02,0050,1403000,4000,22000,0,1385000,235375000,21064000,311000,0,0,21375000,2450597,0
2019-01-03,0050,1385000,16000,12000,0,1389000,236750000,21375000,2450000,900000,0,22925000,2432818,0
2019-01-04,0050,1389000,54000,25000,0,1418000,240125000,22925000,2432000,0,0,25357000,2586395,0
2019-01-07,0050,1418000,38000,40000,0,1416000,241500000,25357000,0,103000,0,25254000,2692039,0
2019-01-08,0050,1416000,7000,123000,522000,778000,241500000,25254000,0,512000,0,24742000,2738803,0
2019-01-09,0050,778000,37000,92000,0,723000,241500000,24742000,0,0,0,24742000,2776849,0
2019-01-10,0050,723000,6000,136000,2000,591000,241250000,24742000,0,900000,0,23842000,2729584,0
2019-01-11,0050,591000,32000,39000,110000,474000,241250000,23842000,0,824000,0,23018000,2744397,0
2019-01-14,0050,474000,16000,64000,27000,399000,241250000,23018000,0,1281000,0,21737000,2755279,0
2019-01-15,0050,399000,12000,36000,73000,302000,243500000,21737000,0,2908000,0,18829000,2735134,0
2019-01-16,0050,302000,0,298000,2000,2000,243500000,18829000,0,2869000,0,15960000,2847376,0
2019-01-17,0050,2000,0,0,2000,0,243375000,15960000,0,14430000,0,1530000,2851220,0
2019-01-18,0050,0,0,0,0,0,243375000,1530000,0,6000,0,1524000,2730681,0
2019-01-21,0050,0,0,0,0,0,239625000,1524000,200000,0,0,1724000,2767418,0
2019-01-22,0050,0,71000,0,0,71000,239875000,1724000,0,0,0,1724000,2725675,0
2019-01-23,0050,71000,53000,0,0,124000,241125000,1724000,0,200000,0,1524000,2736587,0
2019-01-24,0050,124000,47000,10000,0,161000,241125000,1524000,0,10000,0,1514000,2684815,0
2019-01-25,0050,161000,45000,26000,0,180000,241125000,1514000,0,278000,0,1236000,2695487,0
2019-01-28,0050,180000,72000,1000,0,251000,241125000,1236000,0,0,0,1236000,2645930,0
2019-01-29,0050,251000,26000,6000,0,271000,241125000,1236000,0,0,0,1236000,2633604,0
2019-01-30,0050,271000,25000,43000,0,253000,241500000,1236000,0,0,0,1236000,2609466,0
2019-02-11,0050,253000,34000,3000,0,284000,241500000,1236000,0,0,0,1236000,2630640,0
2019-02-12,0050,284000,83000,12000,0,355000,241500000,1236000,0,0,0,1236000,2596665,0
2019-02-13,0050,355000,19000,2000,0,372000,241500000,1236000,0,0,0,1236000,2553430,0
2019-02-14,0050,372000,6000,2000,0,376000,241500000,1236000,0,0,0,1236000,2559819,0
2019-02-15,0050,376000,8000,3000,0,381000,242750000,1236000,0,0,0,1236000,2535457,0
2019-02-18,0050,381000,3000,4000,0,380000,242750000,1236000,0,0,0,1236000,2480706,0
2019-02-19,0050,380000,10000,0,0,390000,242750000,1236000,0,0,0,1236000,2420127,0
2019-02-20,0050,390000,64000,5000,0,449000,242750000,1236000,0,0,0,1236000,2667052,0
2019-02-21,0050,449000,37000,27000,0,459000,242750000,1236000,0,0,0,1236000,2807402,0
2019-02-22,0050,459000,23000,5000,0,477000,242250000,1236000,0,0,0,1236000,2820891,0
2019-02-25,0050,477000,20000,17000,0,480000,239750000,1236000,0,0,0,1236000,2881073,0
2019-02-26,0050,480000,109000,6000,0,583000,236625000,1236000,0,0,0,1236000,2827179,0
2019-02-27,0050,583000,11000,3000,0,591000,236625000,1236000,0,0,0,1236000,2810197,0
2019-03-04,0050,591000,7000,14000,0,584000,236125000,1236000,0,0,0,1236000,2784826,0
2019-03-05,0050,584000,3000,126000,0,461000,231125000,1236000,0,1000,0,1235000,2764526,0
2019-03-06,0050,461000,5000,9000,0,457000,228625000,1235000,0,0,0,1235000,2932091,0
2019-03-07,0050,457000,13000,3000,0,467000,227750000,1235000,0,0,0,1235000,3010860,0
2019-03-08,0050,467000,10000,44000,0,433000,227750000,1235000,0,0,0,1235000,3057627,0
2019-03-11,0050,433000,6000,11000,0,428000,227750000,1235000,0,0,0,1235000,2985687,0
2019-03-12,0050,428000,12000,17000,0,423000,227750000,1235000,0,0,0,1235000,2970837,0
2019-03-13,0050,423000,20000,10000,0,433000,223500000,1235000,0,0,0,1235000,2972114,0
2019-03-14,0050,433000,11000,42000,0,402000,221125000,1235000,0,0,0,1235000,2941267,0
2019-03-15,0050,402000,33000,6000,0,429000,221125000,1235000,0,0,0,1235000,2951557,0
2019-03-18,0050,429000,40000,10000,0,459000,221125000,1235000,0,0,0,1235000,2985355,0
2019-03-19,0050,459000,19000,10000,0,468000,221125000,1235000,0,0,0,1235000,3007323,0
2019-03-20,0050,468000,12000,2000,0,478000,221125000,1235000,0,0,0,1235000,3090879,0
2019-03-21,0050,478000,17000,6000,0,489000,217625000,1235000,0,0,0,1235000,3131083,0
2019-03-22,0050,489000,2000,38000,0,453000,217625000,1235000,0,0,0,1235000,3162135,0
2019-03-25,0050,453000,93000,28000,0,518000,217375000,1235000,0,0,0,1235000,3188145,0
2019-03-26,0050,518000,2000,0,0,520000,216250000,1235000,0,0,0,1235000,3162593,0
2019-03-27,0050,520000,17000,10000,0,527000,216250000,1235000,0,0,0,1235000,3122001,0
2019-03-28,0050,527000,27000,1000,0,553000,216250000,1235000,0,0,0,1235000,3094514,0
2019-03-29,0050,553000,11000,17000,0,547000,216250000,1235000,0,0,0,1235000,3109742,0
2019-04-01,0050,547000,7000,36000,0,518000,216250000,1235000,0,0,0,1235000,3183860,0
2019-04-02,0050,518000,0,6000,0,512000,216250000,1235000,0,0,0,1235000,3204750,0
2019-04-03,0050,512000,1000,4000,0,509000,216250000,1235000,0,0,0,1235000,3207460,0
2019-04-08,0050,509000,0,0,0,509000,216250000,1235000,0,0,0,1235000,3258747,0
2019-04-09,0050,509000,0,3000,0,506000,216250000,1235000,0,0,0,1235000,3068389,0
2019-04-10,0050,506000,0,1000,0,505000,216250000,1235000,0,0,0,1235000,2990373,0
2019-04-11,0050,505000,5000,8000,0,502000,216250000,1235000,0,0,0,1235000,2974287,0
2019-04-12,0050,502000,3000,1000,0,504000,216250000,1235000,1000,0,0,1236000,2855617,0
2019-04-15,0050,504000,106000,23000,0,587000,216250000,1236000,1000,0,0,1237000,2773402,0
2019-04-16,0050,587000,5000,3000,0,589000,216250000,1237000,1000,0,0,1238000,2722007,0
2019-04-17,0050,589000,0,9000,0,580000,207500000,1238000,1000,0,0,1239000,2868360,0
2019-04-18,0050,580000,3000,7000,0,576000,207000000,1239000,1000,0,0,1240000,2981258,0
2019-04-19,0050,576000,2000,1000,0,577000,207000000,1240000,0,0,0,1240000,2910617,0
2019-04-22,0050,577000,10000,1000,0,586000,207000000,1240000,0,1000,0,1239000,2756962,0
2019-04-23,0050,586000,0,0,0,586000,207125000,1239000,0,0,0,1239000,2717331,0
2019-04-24,0050,586000,2000,1000,2000,585000,206875000,1239000,0,0,0,1239000,2701992,0
2019-04-25,0050,585000,0,0,0,585000,206875000,1239000,0,0,0,1239000,2598708,0
2019-04-26,0050,585000,3000,1000,0,587000,206875000,1239000,0,0,0,1239000,2535374,0
