date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2019-01-02,0050,377,6,235375,142,3359,3130, ,3,22,0,235375,4,1385,1403
2019-01-03,0050,302,0,236750,101,3560,3359, ,7,12,0,236750,16,1389,1385
2019-01-04,0050,266,1,240125,333,3492,3560, ,1,25,0,240125,54,1418,1389
2019-01-07,0050,166,0,241500,315,3343,3492, ,6,40,0,241500,38,1416,1418
2019-01-08,0050,58,0,241500,45,3356,3343, ,72,123,522,241500,7,778,1416
2019-01-09,0050,112,1,241500,467,3000,3356, ,4,92,0,241500,37,723,778
2019-01-10,0050,12,0,241250,78,2934,3000, ,0,136,2,241250,6,591,723
2019-01-11,0050,8,0,241250,294,2648,2934, ,0,39,110,241250,32,474,591
2019-01-14,0050,51,0,241250,52,2647,2648, ,2,64,27,241250,16,399,474
2019-01-15,0050,42,0,243500,94,2595,2647,X ,7,36,73,243500,12,302,399
2019-01-16,0050,36,1,243500,69,2561,2595,X ,0,298,2,243500,0,2,302
2019-01-17,0050,56,0,243375,85,2532,2561,X ,0,0,2,243375,0,0,2
2019-01-18,0050,56,1,243375,82,2505,2532,X ,0,0,0,243375,0,0,0
2019-01-21,0050,76,11,239625,111,2459,2505, ,0,0,0,239625,0,0,0
2019-01-22,0050,240,0,239875,27,2672,2459, ,5,0,0,239875,71,71,0
2019-01-23,0050,88,2,241125,80,2678,2672, ,7,0,0,241125,53,124,71
2019-01-24,0050,185,0,241125,40,2823,2678, ,2,10,0,241125,47,161,124
2019-01-25,0050,32,0,241125,413,2442,2823, ,1,26,0,241125,45,180,161
2019-01-28,0050,23,0,241125,37,2428,2442, ,0,1,0,241125,72,251,180
2019-01-29,0050,53,2,241125,53,2426,2428, ,3,6,0,241125,26,271,251
2019-01-30,0050,56,9,241500,94,2379,2426, ,18,43,0,241500,25,253,271
2019-02-11,0050,54,2,241500,143,2288,2379, ,3,3,0,241500,34,284,253
2019-02-12,0050,18,0,241500,89,2206,2277, ,5,12,0,241500,83,355,284
2019-02-13,0050,19,0,241500,32,2193,2206, ,7,2,0,241500,19,372,355
2019-02-14,0050,45,0,241500,42,2196,2193, ,0,2,0,241500,6,376,372
2019-02-15,0050,31,2,242750,37,2188,2196, ,1,3,0,242750,8,381,376
2019-02-18,0050,12,1,242750,74,2125,2188, ,5,4,0,242750,3,380,381
2019-02-19,0050,15,0,242750,11,2129,2125, ,0,0,0,242750,10,390,380
2019-02-20,0050,11,0,242750,185,1955,2129, ,0,5,0,242750,64,449,390
2019-02-21,0050,55,0,242750,108,1902,1955, ,1,27,0,242750,37,459,449
2019-02-22,0050,8,0,242250,42,1868,1902, ,0,5,0,242250,23,477,459
2019-02-25,0050,35,0,239750,95,1808,1868, ,0,17,0,239750,20,480,477
2019-02-26,0050,31,7,236625,98,1734,1808, ,3,6,0,236625,109,583,480
2019-02-27,0050,9,0,236625,63,1680,1734, ,3,3,0,236625,11,591,583
2019-03-04,0050,89,3,236125,62,1704,1680, ,6,14,0,236125,7,584,591
2019-03-05,0050,18,0,231125,40,1682,1704, ,3,126,0,231125,3,461,584
2019-03-06,0050,18,5,228625,7,1688,1682, ,3,9,0,228625,5,457,461
2019-03-07,0050,21,0,227750,8,1701,1688, ,44,3,0,227750,13,467,457
2019-03-08,0050,68,3,227750,26,1740,1701, ,0,44,0,227750,10,433,467
2019-03-11,0050,19,0,227750,4,1755,1740, ,0,11,0,227750,6,428,433
2019-03-12,0050,93,6,227750,86,1756,1755, ,0,17,0,227750,12,423,428
2019-03-13,0050,13,0,223500,6,1763,1756, ,0,10,0,223500,20,433,423
2019-03-14,0050,23,0,221125,0,1786,1763, ,3,42,0,221125,11,402,433
2019-03-15,0050,12,20,221125,73,1705,1786, ,0,6,0,221125,33,429,402
2019-03-18,0050,261,0,221125,63,1903,1705, ,6,10,0,221125,40,459,429
2019-03-19,0050,17,0,221125,357,1563,1903, ,3,10,0,221125,19,468,459
2019-03-20,0050,11,0,221125,51,1523,1563, ,0,2,0,221125,12,478,468
2019-03-21,0050,12,6,217625,96,1433,1523, ,9,6,0,217625,17,489,478
2019-03-22,0050,41,0,217625,53,1421,1433, ,3,38,0,217625,2,453,489
2019-03-25,0050,78,0,217375,39,1460,1421, ,0,28,0,217375,93,518,453
2019-03-26,0050,152,0,216250,27,1585,1460, ,0,0,0,216250,2,520,518
2019-03-27,0050,26,6,216250,11,1594,1585, ,0,10,0,216250,17,527,520
2019-03-28,0050,13,0,216250,18,1589,1594, ,1,1,0,216250,27,553,527
