date,stock_id,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,Note,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance
2019-01-02,2330,1013,7,6482595,221,13389,12604, ,6,463,0,6482595,66,2782,3179
2019-01-03,2330,830,0,6482595,120,14099,13389, ,16,440,0,6482595,133,2475,2782
2019-01-04,2330,2153,2,6482595,1163,15087,14099, ,25,807,0,6482595,496,2164,2475
2019-01-07,2330,296,7,6482595,1188,14188,15087, ,7,208,0,6482595,198,2154,2164
2019-01-08,2330,264,4,6482595,201,14247,14188, ,2,85,0,6482595,150,2219,2154
2019-01-09,2330,173,10,6482595,1147,13263,14247, ,3,136,0,6482595,342,2425,2219
2019-01-10,2330,65,59,6482595,102,13167,13263, ,0,57,0,6482595,177,2545,2425
2019-01-11,2330,99,13,6482595,1066,12187,13167, ,3,131,0,6482595,598,3012,2545
2019-01-14,2330,417,0,6482595,111,12493,12187, ,0,151,0,6482595,199,3060,3012
2019-01-15,2330,159,5,6482595,295,12352,12493, ,4,106,0,6482595,388,3342,3060
2019-01-16,2330,617,2,6482595,87,12880,12352, ,3,139,2,6482595,150,3351,3342
2019-01-17,2330,451,8,6482595,388,12935,12880, ,0,59,0,6482595,444,3736,3351
2019-01-18,2330,330,1,6482595,484,12780,12935, ,2,620,0,6482595,107,3223,3736
2019-01-21,2330,195,5,6482595,525,12445,12780, ,5,90,0,6482595,287,3420,3223
2019-01-22,2330,72,0,6482595,452,12065,12445, ,2,18,21,6482595,309,3690,3420
2019-01-23,2330,209,0,6482595,64,12210,12065, ,0,127,0,6482595,30,3593,3690
2019-01-24,2330,71,2,6482595,130,12149,12210, ,0,27,0,6482595,75,3641,3593
2019-01-25,2330,141,21,6482595,831,11438,12149, ,2,206,0,6482595,409,3844,3641
2019-01-28,2330,67,6,6482595,320,11179,11438, ,1,99,20,6482595,722,4447,3844
2019-01-29,2330,904,5,6482595,105,11973,11179, ,1,827,0,6482595,53,3673,4447
2019-01-30,2330,410,154,6482595,159,12070,11973, ,3,324,10,6482595,29,3368,3673
2019-02-11,2330,69,4,6482595,1228,10884,12047, ,3,22,0,6482595,485,3830,3367
2019-02-12,2330,47,0,6482595,377,10567,10897, ,0,201,0,6482595,139,3769,3831
2019-02-13,2330,287,1,6482595,173,10680,10567, ,3,101,0,6482595,460,4128,3769
2019-02-14,2330,269,10,6482595,84,10855,10680, ,0,165,2,6482595,89,4050,4128
2019-02-15,2330,141,10,6482595,96,10890,10855, ,1,56,0,6482595,169,4163,4050
2019-02-18,2330,254,3,6482595,307,10834,10890, ,1,194,0,6482595,248,4217,4163
2019-02-19,2330,160,1,6482595,73,10920,10834, ,0,402,0,6482595,47,3862,4217
2019-02-20,2330,206,13,6482595,683,10430,10920, ,1,69,0,6482595,290,4083,3862
2019-02-21,2330,187,6,6482595,381,10230,10430, ,1,140,1,6482595,155,4097,4083
2019-02-22,2330,88,19,6482595,135,10164,10230, ,0,72,0,6482595,60,4085,4097
2019-02-25,2330,127,2,6482595,428,9861,10164, ,1,213,0,6482595,100,3972,4085
2019-02-26,2330,62,3,6482595,358,9562,9861, ,3,44,0,6482595,137,4065,3972
2019-02-27,2330,135,3,6482595,265,9429,9562, ,0,125,0,6482595,29,3969,4065
2019-03-04,2330,477,3,6482595,68,9835,9429, ,4,153,0,6482595,19,3835,3969
2019-03-05,2330,411,1,6482595,93,10152,9835, ,0,161,0,6482595,110,3784,3835
2019-03-06,2330,117,0,6482595,108,10161,10152, ,8,66,0,6482595,146,3864,3784
2019-03-07,2330,115,1,6482595,115,10160,10161, ,1,23,0,6482595,41,3882,3864
2019-03-08,2330,542,26,6482595,195,10481,10160, ,3,388,1,6482595,40,3533,3882
2019-03-11,2330,291,0,6482595,78,10694,10481, ,12,213,90,6482595,28,3258,3533
2019-03-12,2330,324,3,6482595,687,10328,10694, ,5,191,0,6482595,227,3294,3258
2019-03-13,2330,216,0,6482595,266,10278,10328, ,1,47,1,6482595,108,3354,3294
2019-03-14,2330,508,1,6482595,329,10456,10278, ,9,120,0,6482595,100,3334,3354
2019-03-15,2330,160,1,6482595,1025,9590,10456, ,1,98,0,6482595,231,3467,3334
2019-03-18,2330,116,35,6482595,337,9334,9590, ,2,190,130,6482595,75,3222,3467
2019-03-19,2330,157,11,6482595,94,9386,9334, ,1,94,42,6482595,39,3125,3222
2019-03-20,2330,48,37,6482595,297,9100,9386, ,8,63,3,6482595,127,3186,3125
2019-03-21,2330,313,3,6482595,784,8626,9100, ,2,318,8,6482595,239,3099,3186
2019-03-22,2330,290,49,6482595,379,8488,8626, ,2,483,40,6482595,100,2676,3099
2019-03-25,2330,401,0,6482595,131,8758,8488, ,5,809,77,6482595,12,1802,2676
