date,stock_id,buy,name,sell
2019-05-02,2618,4462000,Foreign_Investor,1432958
2019-05-02,2618,0,Foreign_Dealer_Self,0
2019-05-02,2618,0,Investment_Trust,5000
2019-05-02,2618,100000,Dealer_self,565000
2019-05-02,2618,213000,Dealer_Hedging,5000
2019-05-03,2618,1661000,Foreign_Investor,2673000
2019-05-03,2618,0,Foreign_Dealer_Self,0
2019-05-03,2618,4000,Investment_Trust,0
2019-05-03,2618,0,Dealer_self,64000
2019-05-03,2618,20000,Dealer_Hedging,250000
2019-05-06,2618,987000,Foreign_Investor,3820637
2019-05-06,2618,0,Foreign_Dealer_Self,0
2019-05-06,2618,0,Investment_Trust,0
2019-05-06,2618,379000,Dealer_self,122000
2019-05-06,2618,0,Dealer_Hedging,244000
2019-05-07,2618,2514000,Foreign_Investor,4487195
2019-05-07,2618,0,Foreign_Dealer_Self,0
2019-05-07,2618,0,Investment_Trust,280000
2019-05-07,2618,150000,Dealer_self,907000
2019-05-07,2618,53000,Dealer_Hedging,2000
2019-05-08,2618,2274550,Foreign_Investor,4355667
2019-05-08,2618,0,Foreign_Dealer_Self,0
2019-05-08,2618,300000,Investment_Trust,380000
2019-05-08,2618,276000,Dealer_self,26000
2019-05-08,2618,12000,Dealer_Hedging,173000
2019-05-09,2618,4563142,Foreign_Investor,5670087
2019-05-09,2618,0,Foreign_Dealer_Self,0
2019-05-09,2618,0,Investment_Trust,200000
2019-05-09,2618,86000,Dealer_self,1120367
2019-05-09,2618,8000,Dealer_Hedging,200000
2019-05-10,2618,2206000,Foreign_Investor,2119000
2019-05-10,2618,0,Foreign_Dealer_Self,0
2019-05-10,2618,0,Investment_Trust,2400000
2019-05-10,2618,224000,Dealer_self,623000
2019-05-10,2618,173000,Dealer_Hedging,1000
2019-05-13,2618,1028000,Foreign_Investor,2806520
2019-05-13,2618,0,Foreign_Dealer_Self,0
2019-05-13,2618,0,Investment_Trust,0
2019-05-13,2618,95000,Dealer_self,370000
2019-05-13,2618,0,Dealer_Hedging,169000
2019-05-14,2618,3562000,Foreign_Investor,3428944
2019-05-14,2618,0,Foreign_Dealer_Self,0
2019-05-14,2618,0,Investment_Trust,1310000
2019-05-14,2618,666000,Dealer_self,392000
2019-05-14,2618,425000,Dealer_Hedging,78000
2019-05-15,2618,3446000,Foreign_Investor,3482300
2019-05-15,2618,0,Foreign_Dealer_Self,0
2019-05-15,2618,400000,Investment_Trust,1600000
2019-05-15,2618,621000,Dealer_self,905000
2019-05-15,2618,324000,Dealer_Hedging,120000
2019-05-16,2618,1814000,Foreign_Investor,3278138
2019-05-16,2618,0,Foreign_Dealer_Self,0
2019-05-16,2618,0,Investment_Trust,300000
2019-05-16,2618,144000,Dealer_self,214000
2019-05-16,2618,17000,Dealer_Hedging,498000
2019-05-17,2618,2901000,Foreign_Investor,1943433
2019-05-17,2618,0,Foreign_Dealer_Self,0
2019-05-17,2618,4000,Investment_Trust,659000
2019-05-17,2618,4000,Dealer_self,585000
2019-05-17,2618,0,Dealer_Hedging,94000
2019-05-20,2618,2491000,Foreign_Investor,1180174
2019-05-20,2618,0,Foreign_Dealer_Self,0
2019-05-20,2618,0,Investment_Trust,41
2019-05-20,2618,548000,Dealer_self,323000
2019-05-20,2618,46000,Dealer_Hedging,20000
2019-05-21,2618,7025000,Foreign_Investor,2584606
2019-05-21,2618,0,Foreign_Dealer_Self,0
2019-05-21,2618,0,Investment_Trust,0
2019-05-21,2618,412000,Dealer_self,573000
2019-05-21,2618,331000,Dealer_Hedging,31000
2019-05-22,2618,4877000,Foreign_Investor,2408000
2019-05-22,2618,0,Foreign_Dealer_Self,0
2019-05-22,2618,21000,Investment_Trust,85000
2019-05-22,2618,322000,Dealer_self,101000
2019-05-22,2618,71000,Dealer_Hedging,200000
2019-05-23,2618,3358417,Foreign_Investor,1741350
2019-05-23,2618,0,Foreign_Dealer_Self,0
2019-05-23,2618,59000,Investment_Trust,0
